,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-06-06,0.019141835380177958,0.051187322877434216,0.0,0,0,0.021765975549772058,0.003856753101551149,0,0.0,0.036732455306929285,0.048287046282098046,0,0,0,0.0,0.0,0.09319568548066741,0.07288821582313235,0.015188384823265351,0,0,0,0,0.10672460052690472,0,0,0,0,0.056647767063684976,0.17548058618408424,0,0.019608657556277848,0,0.08423118028948447,0.17364698197803405,0,0,0.0,0.02141655177649909
2021-06-13,0.020651886308829494,0.05243859484664733,0.001873461575145576,0,0,0.01672000146327713,0.00019513117732806786,0,0.0,0.029745457225356868,0.045361200148098614,0,0,0,0.0,0.0,0.09857388412760433,0.08137710574000862,0.013846112250806758,0,0,0,0,0.0981188800916666,0,0,0,0,0.06613652720476812,0.17608983026124944,0,0.023596252284931972,0,0.07948558053382514,0.17318946270569816,0,0,0.0,0.022600632054758395
2021-06-20,0.018945207696383595,0.04948103687644194,0.0,0,0,0.014990999434248168,0.0025488232504971226,0,0.0,0.026477338066158505,0.0518138618498623,0,0,0,0.004013710569516719,0.0,0.09333845226954943,0.08275963367162777,0.0227041342568401,0,0,0,0,0.10002908320830053,0,0,0,0,0.06307180039498052,0.1836832656712485,0,0.02355222577915217,0,0.07167334704460107,0.16892291033136686,0,0,0.0,0.021994169629227303
2021-06-27,0.018721197945819633,0.046024697861889514,0.0,0,0,0.01685931804407894,0.0018825965040260282,0,0.0,0.02727866323956085,0.04670406750524336,0,0,0,0.0015782412327749534,0.0,0.09487655566160573,0.09088211097688083,0.02145671901631052,0,0,0,0,0.09812525840980399,0,0,0,0,0.06129124634675628,0.18162804960457996,0,0.026549245168246416,0,0.07669500408855771,0.17138647650779887,0,0,0.0,0.017975202920326644
2021-07-04,0.020004894924363633,0.0472989964911208,0.0018617510596536954,0,0,0.019086771594101052,0.0025095283180161057,0,0.0,0.027702071192240014,0.044906528143285426,0,0,0,0.0,0.0,0.09582619663985117,0.08913633902979298,0.022676501512102532,0,0,0,0,0.09709939389971602,0,0,0,0,0.06447066953594903,0.18247155766218062,0,0.029453420089032546,0,0.0711389241880994,0.1691755888646647,0,0,0.0,0.015180866855827741
2021-07-11,0.02229360066577451,0.05918867510509428,0.0,0,0,0.003957368064470125,0.025456202587876772,0,0.0,0.008852927467996928,0.03548756339981961,0,0,0,0.0,0.01942933030083187,0.08724169532858785,0.07268007517727294,0.018035974422588388,0,0,0,0,0.08961145376635272,0,0,0,0,0.06813179525870318,0.19296447298768563,0,0.05151484377455683,0,0.07604482938305486,0.1517401618538149,0,0,0.00031153712124816507,0.01705749333426919
2021-07-18,0.019925916673185152,0.06106792007039841,0.0,0,0,0.0,0.024018896034087255,0,0.0,0.01712990835503102,0.03368666843685173,0,0,0,0.0017842760002295575,0.022836390651725075,0.0850771719506054,0.06790579208804887,0.02959528796278532,0,0,0,0,0.09189824420638598,0,0,0,0,0.06917103235684713,0.19191908686241016,0,0.05153738503946207,0,0.06559608642099969,0.15174213853336202,0,0,0.0011832991472557008,0.01392449921033123
2021-07-25,0.01697495817371895,0.06200772821657693,0.0,0,0,0.0001986109206029602,0.020495395174066938,0,0.0,0.01771564797046719,0.03570708283987225,0,0,0,0.003633598674921686,0.026397572491169932,0.09387651469965134,0.061437338950196325,0.03994961500772197,0,0,0,0,0.0866087252357791,0,0,0,0,0.06764867225737285,0.18637979149054834,0,0.048879151540396654,0,0.05851774846670569,0.14825512373299968,0,0,0.006779833389862309,0.01853689076736953
2021-08-01,0.021202447434045504,0.05968403474105782,0.0,0,0,0.0,0.01728355063219491,0,0.0,0.028709027790735975,0.033593634770282994,0,0,0,0.0021715102705114992,0.02661384580616771,0.09653567711338491,0.06576375737406465,0.04278593023565603,0,0,0,0,0.08307664233604001,0,0,0,0,0.06270325782957648,0.1818560393279576,0,0.05268831446539101,0,0.05697959362102867,0.1472420880965362,0,0,0.00786093788756159,0.013249710267807864
2021-08-08,0.023685812003632574,0.06151049854909197,0.0,0,0,0.0,0.014175785748551595,0,0.0,0.031882476007191164,0.035594357419418104,0,0,0,0.00026858036055920004,0.029934953063044407,0.10293719514793591,0.06180377455900887,0.03994453216384681,0,0,0,0,0.08423349330029514,0,0,0,0,0.06329850587077503,0.18287604399349133,0,0.05286481301331657,0,0.05269814281875536,0.14884000154022067,0,0,0.0023354746884880276,0.011115559752380474
