,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-06-06,0.06420699375223832,0.06802133911373796,0.0038161914838847266,0,0,0.018966381529396118,0.0,0,0.0,0.01496607047892284,0.05239847596683584,0,0,0,0.017289955771911378,0.0,0.09872283565062538,0.07195580107836191,0.030609304982765817,0,0,0,0,0.09516870198489984,0,0,0,0,0.05643266728966519,0.16610691664941427,0,0.0,0,0.05129018740443806,0.16359970861327652,0,0,0.0,0.026448468249627887
2021-06-13,0.06134082223316437,0.06759169609776107,0.008408610757170011,0,0,0.014467770081716217,0.0,0,0.0,0.009850195079144709,0.04826720588032847,0,0,0,0.0158550854450749,0.0,0.10434463867695336,0.0792946850972383,0.026974799104432387,0,0,0,0,0.08933322250181605,0,0,0,0,0.06370620829595347,0.16872727571400906,0,0.0006697721700353953,0,0.05024199116157158,0.16501898716262342,0,0,0.0,0.025907034541011127
2021-06-20,0.059107491022007574,0.06497333002255849,0.00603431391039678,0,0,0.01385105633504131,0.0,0,0.0,0.00988657989719588,0.05388870675849076,0,0,0,0.02016752393665614,0.0,0.09898898782660272,0.07972393018796337,0.034068823058318466,0,0,0,0,0.09032292546202678,0,0,0,0,0.0610882723645575,0.17293739856886026,0,0.0018021929785146224,0,0.0462395140903921,0.16085193166829231,0,0,0.0,0.026067021912122876
2021-06-27,0.060615280350293496,0.06298768154288938,0.00816069157226151,0,0,0.014565175741372971,0.0,0,0.0,0.008705286172709735,0.049157310637329484,0,0,0,0.018524221192292658,0.0,0.10120284044251424,0.08574110714539179,0.03331701521454817,0,0,0,0,0.0886450211184793,0,0,0,0,0.06013904917554547,0.17248634597737006,0,0.002477119917465695,0,0.04773080738775987,0.16291940126635415,0,0,0.0,0.022625645145424478
2021-07-04,0.06052674949046308,0.06428069508363479,0.009219073828544911,0,0,0.015571037320233256,0.0,0,0.0,0.008595814567635071,0.04753810888209133,0,0,0,0.01616500597026168,0.0,0.10254465053638326,0.08495241220922109,0.03346974748405314,0,0,0,0,0.08876589749111058,0,0,0,0,0.06215601909023215,0.1744214632832284,0,0.004764175979751557,0,0.0449612472133975,0.16271839267015625,0,0,0.0,0.0193495088996027
2021-07-11,0.07313096342389806,0.07732743228827464,0.0021573241347070207,0,0,0.006003496703703849,0.012022501269863255,0,0.0,0.0,0.042214749867938425,0,0,0,0.019197273856661867,0.016194188129505394,0.09661490150503825,0.07232078284254731,0.033614697216393305,0,0,0,0,0.07828784659403157,0,0,0,0,0.06455716969829757,0.17393652831388334,0,0.015545457007757703,0,0.03866252907575201,0.15040958761301082,0,0,0.004957135397275302,0.022845435061461146
2021-07-18,0.06983448547024838,0.07789227921808825,0.001113513375273205,0,0,0.003223457387690325,0.012853662347089555,0,0.0,0.001155841154687194,0.04138169597849759,0,0,0,0.02227808825358821,0.018538361929514333,0.09381902724875325,0.06890647308373261,0.042301810236731574,0,0,0,0,0.07972582080882133,0,0,0,0,0.06478551816792814,0.17144546655704795,0,0.017680190104267055,0,0.034340949784252624,0.1494157478403587,0,0,0.007105147932179243,0.02220246312124841
2021-07-25,0.06403743838754401,0.07797262406714031,0.005993208440299083,0,0,0.00408949018263665,0.009835314165561413,0,0.0,0.0,0.04084010247291465,0,0,0,0.02234386148794561,0.020285885476443652,0.10047164620133991,0.06426183600324996,0.04830444964489593,0,0,0,0,0.07720096067118515,0,0,0,0,0.06314958546911363,0.17028012677733365,0,0.017091762830100977,0,0.031637835105989845,0.14779398994931475,0,0,0.010197908892543062,0.02421197377444751
2021-08-01,0.06749729351801662,0.07719136325225748,0.004473591047037566,0,0,0.002142104280312846,0.007093214758103075,0,0.0,0.007391856595162564,0.039594827129932224,0,0,0,0.02121621143778543,0.02056546887142832,0.10333154183829256,0.06730931888149136,0.05020567621457014,0,0,0,0,0.0751503744680272,0,0,0,0,0.05999447665399026,0.1680661453779521,0,0.019966005013085774,0,0.030267843989405116,0.14853787451096823,0,0,0.010111105585012992,0.01989370657716979
2021-08-08,0.06739389297613915,0.07816781688859951,0.004782668084278235,0,0,0.002428779646411966,0.004457290460672269,0,0.0,0.009705493709185203,0.04069532026905334,0,0,0,0.01872647321255982,0.022583109186618672,0.1079446260708197,0.06452181509131964,0.04775580664588181,0,0,0,0,0.07638191890216896,0,0,0,0,0.06032750231685982,0.16995419900784248,0,0.02130595934904247,0,0.028952852522888838,0.14961144981072058,0,0,0.006621414645140892,0.017681611203795935
